0.000000 1.7453295740e-02 1.7453295740e-02 1.7453295740e-02
0.025000 1.8323828334e-02 1.8323828334e-02 1.8323828334e-02
0.050000 1.9198757557e-02 1.9198757557e-02 1.9198757557e-02
0.075000 2.0069290150e-02 2.0069290150e-02 2.0069290150e-02
0.100000 2.0944219373e-02 2.0944219373e-02 2.0944219373e-02
0.125000 2.1814751966e-02 2.1814751966e-02 2.1814751966e-02
0.150000 2.2689681189e-02 2.2689681189e-02 2.2689681189e-02
0.175000 2.3560213783e-02 2.3560213783e-02 2.3560213783e-02
0.200000 2.4435143006e-02 2.4435143006e-02 2.4435143006e-02
0.225000 2.5305675599e-02 2.5305675599e-02 2.5305675599e-02
0.250000 2.6176208193e-02 2.6176208193e-02 2.6176208193e-02
0.275000 2.7051137416e-02 2.7051137416e-02 2.7051137416e-02
0.300000 2.7921670009e-02 2.7921670009e-02 2.7921670009e-02
0.325000 2.8796599232e-02 2.8796599232e-02 2.8796599232e-02
0.350000 2.9667131826e-02 2.9667131826e-02 2.9667131826e-02
0.375000 3.0542061048e-02 3.0542061048e-02 3.0542061048e-02
0.400000 3.1412593642e-02 3.1412593642e-02 3.1412593642e-02
0.425000 3.2287522865e-02 3.2287522865e-02 3.2287522865e-02
0.450000 3.3158055458e-02 3.3158055458e-02 3.3158055458e-02
0.475000 3.4028588052e-02 3.4028588052e-02 3.4028588052e-02
0.500000 3.4903517275e-02 3.4903517275e-02 3.4903517275e-02
0.525000 3.5774049868e-02 3.5774049868e-02 3.5774049868e-02
0.550000 3.6648979091e-02 3.6648979091e-02 3.6648979091e-02
0.575000 3.7519511685e-02 3.7519511685e-02 3.7519511685e-02
0.600000 3.8394440907e-02 3.8394440907e-02 3.8394440907e-02
0.625000 3.9264973501e-02 3.9264973501e-02 3.9264973501e-02
0.650000 4.0139902724e-02 4.0139902724e-02 4.0139902724e-02
0.675000 4.1010435317e-02 4.1010435317e-02 4.1010435317e-02
0.700000 4.1885364540e-02 4.1885364540e-02 4.1885364540e-02
0.725000 4.2755897134e-02 4.2755897134e-02 4.2755897134e-02
0.750000 4.3626429727e-02 4.3626429727e-02 4.3626429727e-02
0.775000 4.4501358950e-02 4.4501358950e-02 4.4501358950e-02
0.800000 4.5371891544e-02 4.5371891544e-02 4.5371891544e-02
0.825000 4.6246820766e-02 4.6246820766e-02 4.6246820766e-02
0.850000 4.7117353360e-02 4.7117353360e-02 4.7117353360e-02
0.875000 4.7992282583e-02 4.7992282583e-02 4.7992282583e-02
0.900000 4.8862815176e-02 4.8862815176e-02 4.8862815176e-02
0.925000 4.9737744399e-02 4.9737744399e-02 4.9737744399e-02
0.950000 5.0608276993e-02 5.0608276993e-02 5.0608276993e-02
0.975000 5.1478809586e-02 5.1478809586e-02 5.1478809586e-02
1.000000 5.2353738809e-02 5.2353738809e-02 5.2353738809e-02
1.025000 5.3224271403e-02 5.3224271403e-02 5.3224271403e-02
1.050000 5.4099200626e-02 5.4099200626e-02 5.4099200626e-02
1.075000 5.4969733219e-02 5.4969733219e-02 5.4969733219e-02
1.100000 5.5844662442e-02 5.5844662442e-02 5.5844662442e-02
1.125000 5.6715195035e-02 5.6715195035e-02 5.6715195035e-02
1.150000 5.7590124258e-02 5.7590124258e-02 5.7590124258e-02
1.175000 5.8460656852e-02 5.8460656852e-02 5.8460656852e-02
1.200000 5.9331189445e-02 5.9331189445e-02 5.9331189445e-02
1.225000 6.0206118668e-02 6.0206118668e-02 6.0206118668e-02
1.250000 6.1076651262e-02 6.1076651262e-02 6.1076651262e-02
1.275000 6.1951580485e-02 6.1951580485e-02 6.1951580485e-02
1.300000 6.2822113078e-02 6.2822113078e-02 6.2822113078e-02
1.325000 6.3697042301e-02 6.3697042301e-02 6.3697042301e-02
1.350000 6.4567574895e-02 6.4567574895e-02 6.4567574895e-02
1.375000 6.5442504117e-02 6.5442504117e-02 6.5442504117e-02
1.400000 6.6313036711e-02 6.6313036711e-02 6.6313036711e-02
1.425000 6.7187965934e-02 6.7187965934e-02 6.7187965934e-02
1.450000 6.8058498527e-02 6.8058498527e-02 6.8058498527e-02
1.475000 6.8929031121e-02 6.8929031121e-02 6.8929031121e-02
1.500000 6.9803960344e-02 6.9803960344e-02 6.9803960344e-02
1.525000 7.0674492937e-02 7.0674492937e-02 7.0674492937e-02
1.550000 7.1549422160e-02 7.1549422160e-02 7.1549422160e-02
1.575000 7.2419954754e-02 7.2419954754e-02 7.2419954754e-02
1.600000 7.3294883976e-02 7.3294883976e-02 7.3294883976e-02
1.625000 7.4165416570e-02 7.4165416570e-02 7.4165416570e-02
1.650000 7.5040345793e-02 7.5040345793e-02 7.5040345793e-02
1.675000 7.5910878386e-02 7.5910878386e-02 7.5910878386e-02
1.700000 7.6781410980e-02 7.6781410980e-02 7.6781410980e-02
1.725000 7.7656340203e-02 7.7656340203e-02 7.7656340203e-02
1.750000 7.8526872796e-02 7.8526872796e-02 7.8526872796e-02
1.775000 7.9401802019e-02 7.9401802019e-02 7.9401802019e-02
1.800000 8.0272334613e-02 8.0272334613e-02 8.0272334613e-02
1.825000 8.1147263835e-02 8.1147263835e-02 8.1147263835e-02
1.850000 8.2017796429e-02 8.2017796429e-02 8.2017796429e-02
1.875000 8.2892725652e-02 8.2892725652e-02 8.2892725652e-02
1.900000 8.3763258245e-02 8.3763258245e-02 8.3763258245e-02
1.925000 8.4633790839e-02 8.4633790839e-02 8.4633790839e-02
1.950000 8.5508720062e-02 8.5508720062e-02 8.5508720062e-02
1.975000 8.6379252655e-02 8.6379252655e-02 8.6379252655e-02
2.000000 8.7254181878e-02 8.7254181878e-02 8.7254181878e-02
2.025000 8.8124714472e-02 8.8124714472e-02 8.8124714472e-02
2.050000 8.8999643695e-02 8.8999643695e-02 8.8999643695e-02
2.075000 8.9870176288e-02 8.9870176288e-02 8.9870176288e-02
2.100000 9.0745105511e-02 9.0745105511e-02 9.0745105511e-02
2.125000 9.1615638105e-02 9.1615638105e-02 9.1615638105e-02
2.150000 9.2486170698e-02 9.2486170698e-02 9.2486170698e-02
2.175000 9.3361099921e-02 9.3361099921e-02 9.3361099921e-02
2.200000 9.4231632514e-02 9.4231632514e-02 9.4231632514e-02
2.225000 9.5106561737e-02 9.5106561737e-02 9.5106561737e-02
2.250000 9.5977094331e-02 9.5977094331e-02 9.5977094331e-02
2.275000 9.6852023554e-02 9.6852023554e-02 9.6852023554e-02
2.300000 9.7722556147e-02 9.7722556147e-02 9.7722556147e-02
2.325000 9.8597485370e-02 9.8597485370e-02 9.8597485370e-02
2.350000 9.9468017964e-02 9.9468017964e-02 9.9468017964e-02
2.375000 1.0034294719e-01 1.0034294719e-01 1.0034294719e-01
2.400000 1.0121347978e-01 1.0121347978e-01 1.0121347978e-01
2.425000 1.0208401237e-01 1.0208401237e-01 1.0208401237e-01
2.450000 1.0295894160e-01 1.0295894160e-01 1.0295894160e-01
2.475000 1.0382947419e-01 1.0382947419e-01 1.0382947419e-01
2.500000 1.0470440341e-01 1.0470440341e-01 1.0470440341e-01
2.525000 1.0557493601e-01 1.0557493601e-01 1.0557493601e-01
2.550000 1.0644986523e-01 1.0644986523e-01 1.0644986523e-01
2.575000 1.0732039782e-01 1.0732039782e-01 1.0732039782e-01
2.600000 1.0819532705e-01 1.0819532705e-01 1.0819532705e-01
2.625000 1.0906585964e-01 1.0906585964e-01 1.0906585964e-01
2.650000 1.0993639223e-01 1.0993639223e-01 1.0993639223e-01
2.675000 1.1081132146e-01 1.1081132146e-01 1.1081132146e-01
2.700000 1.1168185405e-01 1.1168185405e-01 1.1168185405e-01
2.725000 1.1255678327e-01 1.1255678327e-01 1.1255678327e-01
2.750000 1.1342731587e-01 1.1342731587e-01 1.1342731587e-01
2.775000 1.1430224509e-01 1.1430224509e-01 1.1430224509e-01
2.800000 1.1517277768e-01 1.1517277768e-01 1.1517277768e-01
2.825000 1.1604770690e-01 1.1604770690e-01 1.1604770690e-01
2.850000 1.1691823950e-01 1.1691823950e-01 1.1691823950e-01
2.875000 1.1778877209e-01 1.1778877209e-01 1.1778877209e-01
2.900000 1.1866370131e-01 1.1866370131e-01 1.1866370131e-01
